Time,WindDirection,WindSpeed,Temperature,Pressure
2016-05-01 00:00:00,5,8.0,-21.5,981.1
2016-05-22 00:00:00,0,0.0,-19.4,986.1
2016-05-22 06:00:00,9,10.0,-16.6,980.4
2016-05-22 12:00:00,9,9.0,-17.4,973.4
2016-05-22 18:00:00,5,13.0,-17.4,970.7
2016-05-23 00:00:00,7,11.0,-16.5,970.3
2016-05-23 06:00:00,7,10.0,-17.0,971.9
2016-05-23 12:00:00,5,9.0,-17.1,977.4
2016-05-23 18:00:00,5,16.0,-14.9,982.5
2016-05-24 00:00:00,7,11.0,-12.3,983.7
2016-05-24 06:00:00,18,5.0,-13.4,984.0
2016-05-24 12:00:00,5,14.0,-10.3,984.9
2016-05-24 18:00:00,7,19.0,-10.5,986.9
2016-05-25 00:00:00,7,23.0,-13.6,987.9
2016-05-25 06:00:00,7,6.0,-13.3,986.1
2016-05-25 12:00:00,9,25.0,-10.9,983.0
2016-05-25 18:00:00,9,17.0,-14.3,977.6
2016-05-26 00:00:00,5,2.0,-13.4,965.3
2016-05-26 06:00:00,5,15.0,-16.4,961.8
2016-05-26 12:00:00,5,21.0,-18.0,967.0
2016-05-26 18:00:00,5,17.0,-18.2,974.7
2016-05-27 00:00:00,5,14.0,-15.0,983.9
2016-05-27 06:00:00,14,3.0,-15.0,990.8
2016-05-27 12:00:00,5,17.0,-9.9,992.0
2016-05-27 18:00:00,5,16.0,-7.0,993.8
2016-05-28 00:00:00,7,27.0,-8.8,994.1
2016-05-28 06:00:00,7,25.0,-8.4,992.6
2016-05-28 12:00:00,9,19.0,-11.1,989.2
2016-05-28 18:00:00,11,27.0,-17.0,983.3
2016-05-29 00:00:00,7,12.0,-13.7,979.0
2016-05-29 06:00:00,7,20.0,-15.1,977.9
2016-05-29 12:00:00,9,15.0,-15.6,976.1
2016-05-29 18:00:00,9,10.0,-16.3,972.5
2016-05-30 00:00:00,9,9.0,-16.4,969.1
2016-05-30 06:00:00,7,13.0,-16.6,968.3
2016-05-30 12:00:00,7,9.0,-18.0,967.5
2016-05-30 18:00:00,9,7.0,-19.3,970.3
2016-06-01 06:00:00,5,20.0,-20.1,983.4
2016-06-01 12:00:00,11,5.0,-23.0,983.7
2016-06-02 00:00:00,18,13.0,-17.4,983.7
2016-06-02 06:00:00,23,4.0,-15.4,983.0
2016-06-02 12:00:00,14,2.0,-13.7,981.3
2016-06-02 18:00:00,7,7.0,-14.2,977.6
2016-06-03 00:00:00,7,8.0,-15.3,975.7
2016-06-03 06:00:00,7,15.0,-15.8,976.1
2016-06-03 12:00:00,7,11.0,-15.9,979.5
2016-06-03 18:00:00,7,15.0,-15.0,981.6
2016-06-04 00:00:00,5,14.0,-13.9,983.1
2016-06-04 06:00:00,5,9.0,-13.8,985.0
2016-06-04 12:00:00,7,13.0,-14.3,986.2
2016-06-04 18:00:00,9,19.0,-15.7,985.8
2016-06-05 00:00:00,11,12.0,-19.4,985.9
2016-06-05 06:00:00,9,15.0,-22.2,985.0
2016-06-05 12:00:00,9,15.0,-23.8,984.6
2016-06-05 18:00:00,9,8.0,-24.0,982.1
2016-06-06 00:00:00,5,7.0,-24.3,978.9
